"names","avgs","df","sd","idf"
"anthoni",67.6,40,17.6653332799957,10.0594796648956
"silenc",66.7843137254902,51,26.2707844955317,9.70898241781151
"lamb",70.0588235294118,17,22.1289806552378,11.2939449185327
"chill",69.0340136054422,147,23.4860428448789,8.18173541494664
"creepi",59.5031055900621,161,21.5873517674088,8.05049088166839
"deni",64.056338028169,71,18.6521041432489,9.23166064027832
"celebr",70.11875,160,23.2168760930364,8.05947966489564
"aspect",66.6136363636364,88,19.483563259361,8.92197614114571
"claricehannib",88,1,1,15.381407759783
"greater",67.2,50,17.7417357011068,9.73755157000828
"deprav",67.88,25,20.4814441627582,10.7375515700083
"case",58.6529850746269,268,24.1258345420375,7.31531856932523
"ado",44.3333333333333,6,31.4805949198284,12.7964452590618
"squeez",53.5428571428571,35,17.5943698055605,10.252124742838
"dri",63.98,50,22.4442704397673,9.73755157000828
"valentin",60.4107142857143,56,27.8901988130953,9.5740528377254
"annoy",45.0344827586207,87,21.698527234352,8.93846426393428
"stumbl",57.9491525423729,59,19.7556186788934,9.49876471042116
"ah",44.5714285714286,7,26.618073976896,12.5740528377254
"monsieur",79.3333333333333,3,13.0138808606267,13.7964452590618
"frenchman",58.2,5,26.4695897100837,13.0594796648956
"appl",54.3333333333333,15,23.5029098647475,11.4745171641745
"yorker",76.5555555555556,9,16.1995979478991,12.2114827583407
"exact",61.7458745874587,303,20.8153255578694,7.13823377631006
"profession",66.3939393939394,66,18.7814759168323,9.33701364042455
"oldman",66.7333333333333,15,22.06610909449,11.4745171641745
"derang",71.5333333333333,15,19.1693095500024,11.4745171641745
"detect",61.125,64,22.955582867408,9.38140775978301
"reserv",63.4285714285714,35,23.4961247829954,10.252124742838
"claim",60.6949152542373,59,26.4343334594634,9.49876471042116
"bangbang",71.5,2,13.0208152801713,14.381407759783
"stuff",61.5445205479452,292,20.4851623197869,7.19158320090299
"besson",57.5897435897436,39,17.6381267112268,10.0960055409208
"decid",59.5825242718447,103,21.0770692884355,8.69490723259979
"european",59.7878787878788,33,25.0737896577346,10.3370136404246
"oddangl",78,1,1,15.381407759783
"alarm",57.2758620689655,29,22.219762607606,10.5234267646554
"riot",67.5428571428571,35,19.7590650355609,10.252124742838
"offbal",66,9,16.2807067899361,12.2114827583407
"interact",66.4054054054054,37,20.1216274578456,10.1719543941541
"cuisinart",54.3333333333333,3,20.1398362932741,13.7964452590618
"dispar",62.4444444444444,18,24.5702260395516,11.2114827583407
"ingredi",64.4328358208955,67,20.0789618234461,9.31531856932523
"distast",48.125,8,26.0624220697043,12.381407759783
"natur",69.3907284768212,302,21.2735359340255,7.14300302045793
"gift",68.0837696335079,191,21.321968885895,7.80397893174726
"chargedup",63,1,1,15.381407759783
"bounc",65.7894736842105,38,16.318524194559,10.1334802463394
"highwir",77,9,15.396180048888,12.2114827583407
"sugarsweet",63,1,1,15.381407759783
"lightheart",71.2051282051282,39,16.2904846351536,10.0960055409208
"widescreen",71,10,16.0554530541816,12.0594796648956
"lens",65.3,10,26.316002844051,12.0594796648956
"favor",55.9647058823529,85,22.8432985576069,8.9720168236453
"tight",69.1308411214953,107,20.5882541393876,8.63994077338186
"closeup",52.2093023255814,43,22.1812564710439,9.95514300508091
"shootemup",60.1052631578947,19,17.1482532142441,11.1334802463394
"edit",58.3722222222222,180,23.1149941691419,7.88955466345333
"luc",59.8571428571429,14,20.5127459048503,11.5740528377254
"stylish",66.6826347305389,167,18.0735791874284,7.99770346730895
"bravura",78.4666666666667,30,15.2168751921751,10.4745171641745
"guy",60.1779141104294,326,21.0360967319252,7.03267960555193
"fonda",60.4736842105263,19,28.8614995629226,11.1334802463394
"nastiest",83.3333333333333,3,15.4337567297406,13.7964452590618
"cur",76.5,4,18.5973482850873,13.381407759783
"west",63.3582089552239,67,22.3993071910916,9.31531856932523
"upon",66.7375,80,23.6088051347313,9.05947966489564
"8302000",100,1,1,15.381407759783
"leon",73.3571428571429,14,19.002594440619,11.5740528377254
"expand",71.9761904761905,42,19.7765916739344,9.98909033700425
"baroqu",56.1666666666667,12,28.0044889646596,11.7964452590618
"cartoonish",54.0576923076923,52,19.1187947717805,9.68096804164191
"genuin",65.0642673521851,389,21.7828359814895,6.77778141479681
"grandeur",73.4705882352941,34,20.6503300829978,10.2939449185327
"weav",72.5142857142857,35,18.5438466312793,10.252124742838
"themat",65.1818181818182,66,27.0407426875709,9.33701364042455
"arabesqu",100,1,1,15.381407759783
"around",62.1951710261569,497,21.3363882317244,6.42430571822072
"western",68.2721518987342,158,22.2730650348458,8.0776270116059
"foundat",60.6206896551724,29,23.6043829395721,10.5234267646554
"mythreview",100,1,1,15.381407759783
"releas",64.7941176470588,170,26.6498721541558,7.9720168236453
"sergio",62.8333333333333,12,19.2300118851671,11.7964452590618
"music",68.3692307692308,520,21.4821980928196,6.35903994675455
"dollar",61.1621621621622,37,24.5802571768954,10.1719543941541
"operat",66.4666666666667,30,22.61055510518,10.4745171641745
"breadth",73,8,26.2133751353183,12.381407759783
"statur",72.25,8,23.1472345903501,12.381407759783
"deserv",61.9670781893004,243,24.9403301469184,7.45659525617723
"among",65.7107843137255,204,21.8033173124981,7.70898241781151
"greatest",70.875,104,22.8159501193886,8.68096804164191
"akira",82.5,4,24.629078131263,13.381407759783
"kurosawa",81,6,17.5650233926789,12.7964452590618
"said",59.3655172413793,145,22.8208659674835,8.20149866976807
"toshiro",80,1,1,15.381407759783
"mifun",80,1,1,15.381407759783
"feet",65.7619047619048,63,21.719100028495,9.40412783628309
"10",58.3896103896104,77,18.7023309825183,9.11462121908811
"singl",53.9080459770115,174,26.2866261272556,7.93846426393428
"turquois",71.5,2,13.0208152801713,14.381407759783
"orb",65,2,22.2132034355964,14.381407759783
"sincerest",77.5,2,4.53553390593274,14.381407759783
"flattererimit",80,1,1,15.381407759783
"devil",51.1447368421053,76,22.3695758481497,9.13348024633942
"jason",52.6966292134831,89,24.8910426797757,8.90567432881661
"robard",70,1,1,15.381407759783
"relish",64.6333333333333,30,19.7349633192785,10.4745171641745
"heavi",60.7154471544715,123,19.918080659068,8.43889325444377
"charl",62.6666666666667,39,23.3139481199933,10.0960055409208
"bronson",72.6,10,11.1674863057581,12.0594796648956
"clint",70.1315789473684,38,17.1264782312273,10.1334802463394
"eastwood",73.0900900900901,111,19.5538771001199,8.5869918934329
"savor",74.3513513513514,37,21.3909242014625,10.1719543941541
